//Fill tile for whole map
Fill:0
//TileID
1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,3,1,1
1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
1,1,3,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,3,3,1
1,1,2,1,2,1,3,1,1,3,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,3,1,1
1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
1,1,3,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,3,3,1
1,1,2,1,2,1,3,1,1,3,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,3,1,1
1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
1,1,3,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,3,3,1
1,1,2,1,2,1,3,1,1,3,1,1,1,1,1,1,1,1,1
